горещ;vruće;horké;hot;heet;hot;kuum;kuuma;chaud;heiß;hot;forró;te;caldo;karsts;karštas;waarm;sħun;gorący;quente;hot;hot;caliente;het
дума;riječ;slovo;ord;woord;word;Sõna;sana;mot;Wort;λέξη;szó;focal;parola;vārds;žodis;wuert;kelma;słowo;palavra;slovo;beseda;palabra;ord
но;ali;ale;men;maar;but;kuid;mutta;mais;aber;αλλά;de;ach;ma;bet;tačiau;mä;imma;ale;mas;ale;vendar;pero;men
какво;što;co;hvad;wat;what;mida;mitä;que;was;τι;milyen;cad;cosa;ko;ką;waat;liema;co;o que;čo;kaj;qué;vad
някои;Neki;některé;nogle;sommige;some;mõned;jotkut;certains;einige;περίπου;néhány;roinnt;alcuni;daži;kai;puer;xi;niektóre;alguns;niektorí;nekateri;algunos;några
е;je;je;er;is;is;on;on;est;ist;είναι;az;tá;è;ir;yra;ass;huwa;jest;é;je;je;es;är
тя;to;to;det;het;it;see;se;il;es;το;azt;sé;esso;tā;ji;et;dan;to;ele;to;lastna;lo;den
ви;što;jste;du;u;you;sa;sinua;vous;Sie;σας;Ön;tú;voi;jums;jūs;dir;inti;ty;você;ste;si;usted;du
или;ili;nebo;eller;of;or;või;tai;ou;oder;ή;vagy;nó;o;vai;arba;oder;jew;lub;ou;alebo;ali;o;eller
имаше;imala;měl;havde;had;had;tuli;oli;eu;hatte;είχε;volt;bhí;aveva;bija;buvo;hu;kellhom;miał;teve;mal;imela;tenido;hade
на;biti;výše;den;de;the;alates;päälle;la;die;ο;az;an;il;siltums;pamatyti;der;l-;kilka;o;biela;pojdi;la;den
от;od;z;af;van;of;kohta;jos;de;von;από;a;ar;di;no;iš;vun;tal;stopa;de;z;od;de;av
да;kako bi;na;til;aan;to;kuni;to;à;zu;να;hogy;go;a;līdz;į;ze;li;do;a;na;za;a;till
и;i;a;og;en;and;ja;ja;et;und;και;és;agus;e;un;ir;an;u;i;e;a;in;y;och
а;kraj;ostrov;en;een;a;aeg;tehdä;un;ein;α;ügynökség;a;un;seši;grožis;eng;a;ciągnąć;uma;cesta;bi;un;en
в;u;v;i;in;in;aastal;sisään;dans;bei;σε;itt;i;in;in;matyti;an;fil;w;em;v;v;en;i
ние;smo;my;vi;we;we;me;me;nous;wir;εμείς;mi;againn;noi;mēs;mes;mir;aħna;my;nós;sme;smo;nos;vi
може;može;moci;kan;kan;can;saab;voida;boîte;können;μπορεί;lehet;Is féidir;lattina;var;galima;kënnen;jista;puszka;lata;moci;lahko;lata;kan
от;iz;out;ud;uit;out;välja;ulos;dehors;aus;από;ki;amach;fuori;ārā;iš;aus;out;na zewnątrz;fora;out;out;fuera;ut
други;drugi;další;andre;andere;other;muu;muut;autre;andere;άλλα;más;eile;altro;citi;kitas;aner;oħra;inne;outro;ďalšie;druga;otros;andra
бяха;bili su;byly;var;waren;were;olid;olivat;étaient;waren;ήταν;voltak;bhí;erano;bija;buvo;goufen;kienu;były;foram;boli;so bili;eran;var
които;koji;které;som;die;which;mis;joka;qui;die;ο οποίος;amely;a;che;kas;kurie;déi;li;który;que;ktorý;ki;que;vilken
правя;raditi;dělat;gøre;doen;do;teha;tehdä;faire;tun;κάνει;csinálni;dhéanamh;fare;do;padaryti;maachen;do;zrobić;fazer;robiť;storiti;hacer;göra
си;svoje;jejich;deres;hun;their;oma;niiden;leur;ihre;τους;ezek;n-;loro;viņu;jų;hir;tagħhom;ich;seu;ich;njihovo;su;deras
време;vrijeme;čas;tid;tijd;time;aeg;aika;temps;Zeit;χρόνος;idő;am;tempo;laiks;laikas;zäit;ħin;czas;tempo;čas;čas;tiempo;tid
ако;ako;pokud;hvis;indien;if;kui;jos;si;wenn;αν;ha;más rud é;se;ja;jei;wann;jekk;jeśli;se;ak;če;si;om
ще;hoće;bude;vil;zal;will;teeb;tahtoa;volonté;werden;θα;fog;beidh;volontà;griba;bus;wäert;se;będzie;vontade;vôľa;bo;lo hará;kommer
как;kako;jak;hvordan;hoe;how;kuidas;miten;comment;wie;πως;hogyan;conas;come;cik;kaip;wéi;kif;jak;como;ako;kako;cómo;hur
каза;rekao je;řekl;sagde;zei;said;ütles;sanoi;dit;sagte;είπε;mondta;dúirt;suddetto;teica;sakė;gesot;qal;powiedział;disse;uvedený;je dejal;dicho;sa
един;pitaj;;en;een;an;lugema;pieni;un;ein;ένα;egy;ar;un;viņiem;;eng;l;próba;uma;píla;;un;ett
всеки;svaki;každý;hver;elk;each;iga;kukin;chaque;jeder;κάθε;minden;gach;ogni;katrs;kiekvienas;all;kull;każda;cada;každý;vsak;cada;varje
кажете;reći;říct;fortælle;vertellen;tell;öelda;kertoa;dire;sagen;πείτε;mondd meg;insint;dire;pateikt;pasakyti;soen;tell;powiedzieć;dizer;povedať;povej;decir;berätta
прави;radi;dělá;gør;doet;does;ei;tekee;ne;tut;κάνει;nem;dhéanann;fa;nav;daro;heescht;ma;nie;faz;robí;ne;hace;gör
комплект;skup;set;sæt;set;set;komplekt;setti;ensemble;Satz;σετ;készlet;leagtha;set;komplekts;rinkinys;formatioun;sett;zestaw;conjunto;sada;set;conjunto;uppsättning
три;tri;tři;tre;drie;three;kolm;kolme;trois;drei;τρία;három;trí;tre;trīs;trijų;dräi;tlieta;trzy;três;tri;tri;tres;tre
искам;željeti;chtít;ønsker;willen;want;tahad;haluta;vouloir;wollen;θέλω;akar;Ba mhaith;desiderare;gribu;noriu;wëllen;trid;chcą;quer;chcieť;želim;querer;vill
въздух;zrak;vzduchu;luft;lucht;air;õhk;ilma;air;Luft;αέρας;levegő;aer;aria;gaisa;oro;loft;arja;powietrze;ar;vzduch;zrak;aire;luft
добре;dobro;dobře;godt;goed;well;hästi;hyvin;bien;gut;καλά;jól;go maith;bene;labi;gerai;gutt;ukoll;dobrze;bem;dobre;dobro;así;väl
също;također;také;også;ook;also;Samuti;myös;aussi;auch;επίσης,;is;freisin;anche;arī;taip pat;och;wkoll;również;também;tiež;tudi;también;också
играе;igrati;hrát;spille;spelen;play;mängida;pelata;jouer;spielen;παιχνίδι;játék;imirt;giocare;play;žaisti;leeschtung;play;grać;jogar;hrať;igrajo;jugar;spela
малък;mali;malé;lille;klein;small;väike;pieni;petit;klein;μικρό;kicsi;beag;piccolo;mazs;mažas;kleng;żgħir;mały;pequeno;malé;majhna;pequeño;liten
край;kraj;konec;ende;end;end;lõpuks;pää;fin;Ende;τέλος;end;deireadh;fine;beigas;pabaiga;enn;aħħar;koniec;fim;koniec;konec;fin;ände
постави;staviti;dát;sætte;zetten;put;pane;laittaa;mettre;setzen;που;tesz;chur;mettere;likts;sudėti;no;tpoġġi;wkładać;colocar;dať;dal;poner;sätta
Начало;Početna;domácí;hjem;thuis;home;kodu;koti;maison;Zuhause;σπίτι;otthon;baile;casa;mājas;namai;doheem;domiċilju;Strona główna;casa;domáce;domov;casa;hem
Прочети;pročitati;číst;læse;lezen;read;lugema;lue;lire;lesen;διαβάστε;olvas;léamh;leggere;lasīt;skaityti;liesen;aqra;czytaj;ler;čítať;preberite;leer;läsa
ръка;ruka;ruka;hånd;de hand;hand;käsi;käsi;main;seits;χέρι;kézi;lámh;mano;roku;rankų;dem;idejn;ręka;mão;ručné;hand;mano;sidan
порт;luka;přístav;havn;poort;port;port;portti;port;Hafen;λιμάνι;porton;calafoirt;porto;port;uostas;port;port;port;port;prístav;pristanišče;puerto;port
голям;veliki;velký;stor;grote;large;suur;suuri;grand;groß;μεγάλες;nagy;mór;grande;liels;didelis;grouss;kbir;duży;grande;veľký;velika;grande;stor
правописа;čarolija;kouzlo;stave;spell;spell;õigekirja;oikeinkirjoituksen;épeler;buchstabieren;σημάνει;varázslat;litriú;compitare;pareizrakstības;reikšti;heimatt;jespliċitaw;zaklęcie;soletrar;kúzlo;črkovati;deletrear;stava
добави;dodajte;přidat;tilføje;toevoegen;add;lisada;lisätä;ajouter;hinzufügen;προσθέσετε;hozzáad;cuir;aggiungere;pievienot;pridėti;derbäi;żid;dodać;adicionar;pridať;dodajte;añadir;lägg
още;još;dokonce;selv;zelfs;even;isegi;jopa;même;auch;ακόμη;még;fiú;anche;pat;net;souguer;anke;nawet;mesmo;dokonca;celo;incluso;även
земя;zemljište;země;jord;land;land;maa;maa;terre;Lande;γη;föld;talamh;terra;zeme;žemės;land;art;ziemia;terra;krajiny;zemljišč;tierra;mark
тук;ovdje;zde;her;hier;here;siin;täällä;ici;hier;εδώ;itt;anseo;qui;šeit;čia;hei;hawn;tutaj;aqui;tu;tukaj;aquí;här
трябва;mora;musí;skal;moet;must;must;must;il faut;muss;πρέπει;kell;Ní mór;mosto;nepieciešams;turi;muss;għandhom;musi;necessário;musí;mora;debe;must
голям;veliki;velký;stor;grote;big;suur;iso;grand;groß;μεγάλος;nagy;mór;grande;big;didelis;grouss;big;duży;grande;veľký;velika;grande;stor
високо;visoka;vysoký;høj;hoog;high;kõrge;korkea;haut;hoch;υψηλός;nagy;ard;alto;augsta;aukštas;héich;għolja;wysoki;alto;vysoká;visoka;alto;hög
като;kao što;jako;sådan;dergelijke;such;selline;niin;tel;so;όπως;ilyen;den sórt sin a;tale;piemēram;toks;esou;bħal;takie;tais;taký;kot;tal;sådan
следвайте;slijediti;následovat;følg;volgen;follow;järgima;seurata;suivre;folgen;ακολουθήστε;kövesse;leanúint;seguire;sekot;sekti;verfollegen;isegwu;śledzić;siga;nasledovať;sledite;siga;följ
акт;čin;akt;handling;act;act;tegu;säädös;acte;Akt;πράξη;felvonás;gníomh;atto;akts;aktas;akt;att;akt;ato;akt;akt;acto;handling
защо;zašto;proč;hvorfor;waarom;why;miks;miksi;pourquoi;warum;γιατί;miért;cén fáth;perché;kāpēc;kodėl;firwat;għaliex;dlaczego;por que;prečo;zakaj;por qué;varför
попитайте;pitaj;zeptat se;spørge;vragen;ask;küsi;kysyä;interroger;fragen;ρωτήστε;kér;a iarraidh;chiedere;jautāt;paklausti;froen;staqsi;zapytaj;perguntar;opýtať sa;vprašajte;preguntar;be
мъже;muškarci;muži;mænd;mannen;men;mehed;miehet;hommes;Männer;άνδρες;férfiak;fir;maschi;cilvēki;vyrai;männer;irġiel;mężczyźni;homens;muži;moški;hombres;män
промяна;promjena;změna;ændring;verandering;change;muutus;muutos;changement;Veränderung;αλλαγή;változás;athraithe;cambiamento;maiņa;pokytis;änneren;bidla;zmiana;mudança;zmena;sprememba;cambio;förändring
Отидох;otišao;šel;gik;ging;went;läks;meni;est allé;ging;πήγε;ment;chuaigh;è andato;aizgāja;nuvyko;gaangen;marru;poszedł;fui;šiel;šel;se fue;gick
светлина;svjetlo;světlo;lys;licht;light;tuli;valo;lumière;Licht;φως;fény;solas;luce;gaisma;šviesa;liicht;dawl;światła;luz;svetlo;svetloba;luz;ljus
вид;vrsta;druh;slags;soort;kind;liiki;kind;genre;Art;είδος;kedves;chineál;tipo;veids;natūra;aart;tip;rodzaj;tipo;druh;vrsta;tipo;slag
разстояние;isključen;vypnutí;off;uitgeschakeld;off;välja;pois;de;aus;απενεργοποίηση;le;amach;spento;no;nuo;ugefaangen;barra;z;off;oľvek;izklopite;fuera;off
трябва;potrebno;potřebují;brug;nodig hebben;need;vaja;tarvitsevat;besoin;müssen;ανάγκη;szükség;Ní mór;bisogno;vajadzība;reikėti;brauchen;bżonn;potrzeba;precisa;potrebujú;potrebujete;necesitará;behöver
къща;kuća;dům;hus;huis;house;maja;talo;maison;Haus;σπίτι;ház;teach;casa;māja;namas;haus;house;dom;casa;dom;hiša;casa;hus
снимка;slika;obrázek;billede;afbeelding;picture;pilt;kuva;image;Bild;εικόνα;kép;pictiúr;immagine;attēlu;nuotrauka;eroplueden;stampa;obraz;imagem;obrázok;slika;imagen;bilden
опитайте;probati;zkuste;prøv;proberen;try;proovida;yrittää;essayer;versuchen;δοκιμάστε;próbálja;iarracht;provare;mēģināt;pabandyti;probéieren;jippruvaw;spróbuj;tentar;skúste;poskusite;tratar;försök
нас;nas;nám;os;ons;us;us;meille;nous;uns;μας;nekünk;dúinn;noi;us;mums;eis;us;nas;nós;us;nam;nosotros;oss
отново;opet;znovu;igen;weer;again;jälle;jälleen;encore;wieder;πάλι;újra;arís;di nuovo;atkal;vėl;erëm;darb’oħra;ponownie;novamente;znova;ponovno;de nuevo;igen
животните;životinja;zvíře;dyr;dier;animal;loomade;eläin;animal;Tier;ζώο;állat;ainmhithe;animale;dzīvnieks;gyvūnas;déier;annimali;zwierząt;animais;zviera;živali;animal;djur
точка;točka;bod;punkt;punt;point;punkti;kohta;point;Punkt;σημείο;pont;pointe;punto;punkts;taškas;punkt;punt;punkt;ponto;bod;točka;punto;punkt
майка;majka;matka;mor;moeder;mother;ema;äiti;mère;Mutter;Η μητέρα;anya;máthair;madre;māte;motina;mamm;omm;matka;mãe;matka;mati;madre;mor
свят;svijet;svět;verden;wereld;world;maailma;maailma;monde;Welt;κόσμο;világ;domhan;mondo;pasaule;pasaulis;welt;dinja;świat;mundo;svet;svet;mundo;världen
в близост;blizu;poblíž;nær;dichtbij;near;lähedal;lähellä;près de;in der Nähe von;κοντά;közel;in aice le;vicino;netālu;šalia;nieft;qrib;blisko;perto;blízkosti;blizu;cerca;nära
изграждане;graditi;stavět;bygge;bouwen;build;ehitada;rakentaa;construire;bauen;οικοδομήσουμε;épít;a thógáil;costruire;būvēt;statyti;bauen;jibnu;budować;construir;stavať;graditi;construir;bygga
самостоятелно;samouprave;já;selv;zelf;self;ise;itse;soi;selbst;αυτο;self;féin;se stesso;pats;savarankiškai;self;awto;własny;auto;ja;samozaposlene;auto;själv
Земята;zemlja;Země;jord;aarde;earth;Maa;maa;terre;Erde;γη;Föld;cré;terra;zemes;žemė;äerd;earth;ziemia;terra;krajiny;zemlja;tierra;jord
баща;otac;otec;far;vader;father;isa;isä;père;Vater;Ο πατέρας;apa;athair;padre;tēvs;tėvas;papp;missier;ojciec;pai;otec;oče;padre;far
всеки;bilo koji;jakýkoli;enhver;een;any;tahes;kaikki;tout;jeder;κάθε;bármilyen;aon;qualsiasi;jebkurš;bet koks;all;kwalunkwe;dowolny;qualquer;akýkoľvek;koli;cualquier;någon
нова;nova;nový;ny;nieuwe;new;uus;uusi;nouveau;neu;νέα;új;nua;nuovo;jaunā;nauja;nei;ġdida;nowy;novo;nový;novo;nuevo;ny
работа;rad;práce;arbejde;werk;work;töö;työ;travail;Arbeit;εργασία;munka;obair;lavoro;darbs;darbas;aarbecht;xogħol;praca;trabalho;práca;delo;trabajo;arbete
част;dio;část;del;deel;part;osa;osa;partie;Teil;μέρος;rész;chuid;parte;daļa;dalis;deel;parti;część;parte;časť;del;parte;delen
предприеме;potrajati;se;tage;nemen;take;võtta;ottaa;prendre;nehmen;λαμβάνουν;hogy;ghlacadh;prendere;ņemt;imti;huelen;tieħu;wziąć;tomar;sa;sprejmejo;tomar;ta
получите;dobiti;dostat;få;krijgen;get;saada;saada;obtenir;erhalten;πάρετε;kap;a fháil;ottenere;nokļūt;gauti;kréien;jiksbu;dostać;obter;so;zaslužiti;conseguir;få
място;mjesto;místo;sted;plaats;place;koht;paikka;lieu;Ort;θέση;hely;áit;posto;vieta;vieta;plaz;post;miejsce;lugar;miesto;kraj;lugar;plats
направи;napravljen;z;lavet;gemaakt;made;tehtud;tehty;fabriqué;gemacht;που;készült;déanta;fatto;veikts;padarė;gemaach;magħmula;wykonane;feito;z;je;hecho;gjort
живея;živjeti;žít;leve;wonen;live;elada;elää;vivre;leben;ζω;él;beo;vivere;dzīvot;gyventi;liewen;jgħixu;żyć;viver;žiť;živeti;vivir;lever
където;gdje;kde;hvor;waar;where;kus;jossa;où;wo;όπου;ahol;i gcás ina;dove;kur;kur;wou;fejn;gdzie;onde;kde;kjer je;donde;där
след;nakon;po;efter;na;after;pärast;jälkeen;après;nach;μετά;után;tar éis;dopo;pēc;po;no;wara;później;depois;po;po;después;efter
обратно;natrag;zpět;tilbage;terug;back;tagasi;takaisin;arrière;zurück;πίσω;vissza;ar ais;indietro;atpakaļ;atgal;zréck;back;z powrotem;de volta;späť;nazaj;espalda;tillbaka
малко;malo;málo;lidt;weinig;little;vähe;vähän;peu;wenig;λίγο;kis;beag;poco;maz;mažai;wéineg;ftit;mało;pouco;málo;malo;poco;liten
само;samo;pouze;kun;alleen;only;ainult;vain;seulement;nur;μόνο;csak;ach;solo;tikai;tik;nëmmen;biss;tylko;apenas;iba;samo;sólo;endast
кръг;okrugli;kolo;runde;ronde;round;ringi;pyöreä;tour;Runde;γύρος;kerek;bhabhta;turno;kārta;turas;ronn;rawnd;okrągły;rodada;kolo;krog;ronda;rund
мъж;čovjek;muž;mand;man;man;mees;mies;homme;Mann;άνθρωπος;férfi;fear;uomo;vīrietis;vyras;mënsch;bniedem;mężczyzna;homem;muž;Moški;hombre;människa
година;godine;rok;år;jaar;year;aasta;vuosi;année;Jahr;έτους;év;bliain;anno;gads;metai;joer;sena;rok;ano;rok;letnik;años;år
дойде;došao;přišel;kom;kwam;came;tuli;tuli;est venu;kam;ήρθε;jött;tháinig;è venuto;atnāca;atėjo;huet;daħal;spokojnie;veio;prišiel;prišel;vino;kom
Покажи;Show;výstava;vis;Show;show;näita;show;montrer;zeigen;σόου;előadás;thaispeáint;spettacolo;izstāde;šou;weisen;juru;pokaż;exposição;výstava;prikaži;show;visar
всеки;svaka;každý;hver;elke;every;kõik;joka;tous;jeder;κάθε;minden;gach;ogni;ik;kiekvienas;all;kull;każdy;cada;každý;vsak;cada;varje
добър;dobro;dobrý;god;goed;good;hea;hyvä;bon;gut;καλός;jó;maith;buono;labs;geras;gutt;tajba;dobry;bom;dobrý;dobro;buena;bra
мен;ja;mě;mig;mij;me;mind;minua;moi;mir;μου;nekem;dom;me;mani;mane;mech;me;mnie;me;ma;me;me;mig
даде;daju;dát;giver;geven;give;anda;antaa;donner;geben;δώσει;ad;thabhairt;dare;dot;duoti;ginn;jagħtu;dać;dar;dať;dati;dar;ge
ни;Naša;naše;vores;onze;our;meie;meidän;notre;unsere;μας;mi;ár n-;il nostro;mūsu;mūsų;eiser;tagħna;nasze;nossa;naše;naše;nuestro;vår
под;pod;pod;under;onder;under;alla;alle;sous;unter;υπό;alatt;faoi;sotto;saskaņā ar;pagal;ënner;taħt;pod;sob;pod;pod;bajo;enligt
име;Naziv;název;navn;naam;name;nimi;nimi;nom;Name;όνομα;név;ainm;nome;nosaukums;pavadinimas;numm;isem;Nazwa;nome;Názov;ime;nombre;namn
много;vrlo;velmi;meget;zeer;very;väga;hyvin;très;sehr;πολύ;nagyon;an-;molto;ļoti;labai;ganz;ħafna;bardzo;muito;veľmi;zelo;muy;mycket
чрез;kroz;přes;gennem;door;through;läbi;kautta;par;durch;μέσω;keresztül;trí;attraverso;cauri;per;duerch;permezz;przez;através;cez;skozi;a través de;genom
просто;upravo;jen;bare;gewoon;just;lihtsalt;vain;juste;nur;μόνο;csak;ach;solo;tikai;tiesiog;just;biss;tylko;justo;len;samo;sólo;bara
форма;obrazac;forma;formular;vorm;form;vorm;lomake;forme;Formular;μορφή;űrlap;fhoirm;forma;forma;forma;form;forma;formularz;forma;forma;obrazec;forma;formulär
изречение;rečenica;věta;sætning;zin;sentence;lause;virke;phrase;Satz;φράση;mondat;abairt;frase;teikums;sakinys;saz;sentenza;zdanie;sentença;veta;stavek;frase;meningen
голям;super;velký;stor;grote;great;suur;suuri;grand;groß;μεγάλος;nagy;mór;grande;liels;puikus;super;kbira;wielki;grande;veľký;velika;gran;bra
мисля;mislim;myslíte;tænke;denken;think;arvan;ajatella;penser;denken;νομίζω;gondol;I mo thuairimse,;pensare;domā;galvoti;meenung;jaħsbu;myśleć;acho que;myslíte;mislim;pensar;tro
каже;kažu;říkají;sige;zeggen;say;öelda;sanoa;dire;sagen;λένε;mondjuk;rá;dire;teikt;pasakyti;soen;jgħidu;powiedzieć;dizer;hovoria;reči;decir;säga
помогне;pomoći;pomoci;hjælpe;helpen;help;aidata;auttaa;aider;Hilfe;βοηθήσει;segítség;cabhrú;aiutare;palīdzēt;padėti;hëllef;jgħinu;pomoc;ajudar;pomoc;pomaga;ayudar;hjälpa
ниска;niska;nízká;lav;laag;low;madal;alhainen;faible;niedrig;χαμηλής;alacsony;íseal;basso;zems;žemas;héich;baxxa;niski;baixo;nízky;nizka;bajo;låg
Онлайн;linija;linka;linje;lijn;line;line;linja;ligne;Linie;γραμμή;vonal;líne;linea;līnija;linija;linn;line;linia;linha;linka;vrstica;línea;linje
различава;razlikuju;lišit se;afvige;verschillen;differ;erinevad;erota;différer;abweichen;διαφέρουν;különböznek;difriúil;differire;atšķiras;skiriasi;ënnerscheeden;differenti;różnią;diferir;sa líšia;razlikujejo;ser distinto;skiljer
ред;red;turn;tur;beurt;turn;Omakorda;vuoro;tour;wiederum;στροφή;viszont;cas;turno;kārta;posūkis;béit;dawran;kolej;vez;turn;zavoj;a su vez,;tur
кауза;uzrok;příčina;årsag;oorzaak;cause;põhjus;syy;la cause;Ursache;αιτία;ok;faoi deara;causa;cēlonis;priežastis;doudesursaach;kawża;przyczyna;causa;príčina;vzrok;causa;orsak
много;mnogo;hodně;meget;veel;much;palju;paljon;beaucoup;viel;πολύ;sokkal;i bhfad;molto;daudz;daug;vill;ħafna;wiele;muito;veľa;veliko;mucho;mycket
означава;znači;znamenat;betyde;betekenen;mean;tähendab;tarkoittaa;signifier;bedeuten;σημαίνει;átlagos;ciallóidh;dire;nozīmēt;reiškia;heeschen;jfissru;oznaczać;significar;stredná;pomeni;significará;betyda
преди;prije;před;før;voor;before;enne;ennen;avant;vor;πριν;előtt;roimh;prima;pirms;prieš;virum;qabel;przed;antes;pred;pred;antes;före
ход;potez;krok;træk;verhuizing;move;liikuda;liikkua;déménagement;Umzug;κίνηση;lépés;bogadh;spostare;pārvietot;Perkelti;réckelen;mossa;ruch;mudança;voria;poteza;movimiento;drag
полето;pravo;právo;højre;rechts;right;õigus;oikea;droit;Recht;δεξιά;jobb;ceart;diritto;tiesības;teisė;riets;dritt;prawo;direito;právo;prav;derecho;höger
момче;dječak;chlapec;dreng;jongen;boy;poiss;poika;garçon;Junge;αγόρι;fiú;buachaill;ragazzo;boy;berniukas;boy;tifel;chłopiec;menino;chlapec;boy;niño;pojke
стар;stari;starý;gamle;oude;old;vana;vanha;vieux;alt;γριά;régi;d’aois;vecchio;vecs;senas;al;qodma;stary;velho;starý;star;viejo;gammal
твърде;previše;příliš;også;ook;too;liiga;liian;trop;zu;πάρα πολύ;túl;freisin;troppo;pārāk;taip pat;ze;wisq;zbyt;também;príliš;tudi;demasiado;alltför
същата;isti;stejný;samme;hetzelfde;same;sama;sama;même;gleich;ίδιο;ugyanaz;céanna;stesso;tas pats;tas pats;selwecht;istess;sam;mesmo;rovnaký;enako;misma;samma
тя;ona;ona;hun;ze;she;ta;hän;elle;sie;που;ő;sí;lei;viņa;ji;si;hi;ona;ela;ona;ona;ella;hon
всички;svi;všechny;alle;alle;all;kõik;kaikki;tous;alle;όλα;minden;go léir;tutto;viss;visi;all;kollha;wszystko;tudo;všetky;vse;todo;alla
там;postoji;zde;der;er;there;seal;siellä;là;da;εκεί;ott;ann;ci;tur;ten;do;hemm;tam;lá;tu;obstaja;hay;där
когато;kada;kdy;når;wanneer;when;kui;kun;quand;wenn;όταν;amikor;nuair;quando;kad;kai;wéini;meta;kiedy;quando;kedy;ko;cuando;när
нагоре;do;up;op;omhoog;up;üles;ylös;jusqu’à;nach oben;επάνω;up;suas;su;augšup;į viršų;weider;up;w górę;up;up;up;hasta;upp
употреба;koristiti;použití;brug;gebruiken;use;kasutamine;käyttää;utiliser;Verwendung;χρήση;használat;úsáid;uso;izmantot;naudoti;benotzung;użu;zastosowanie;usar;použitie;uporaba;uso;använda
си;vaš;vaše;Deres;uw;your;oma;sinun;votre;Ihre;σας;Ön;do;il tuo;jūsu;savo;är;tiegħek;Twój;seu;vaše;vaš;su;din
начин;način;cesta;måde;manier;way;viis;tapa;manière;Weg;τρόπος;út;bhealach;modo;veids;būdas;manéier;mod;sposób;maneira;cesta;način;camino;sätt
за;oko;o;om;over;about;umbes;noin;sur;über;περίπου;körülbelül;faoi;circa;par;apie;iwwer;dwar;o;sobre;o;o;acerca;ca
много;mnogi;mnoho;mange;veel;many;palju;monet;beaucoup;viele;πολλά;sok;go leor;molti;daudz;daug;vill;ħafna;wiele;muitos;veľa;veliko;muchos;många
след това;zatim;pak;derefter;dan;then;siis;sitten;puis;dann;τότε;akkor;ansin;allora;pēc tam;tada;duerno;imbagħad;następnie;depois;potom;potem;entonces;sedan
тях;ih;je;dem;hen;them;neid;niitä;les;sie;τους;őket;iad;loro;viņiem;jiems;iwwerleeën;minnhom;im;eles;je;jim;ellos;dem
напиши;pisati;napsat;skrive;schrijven;write;kirjuta;kirjoittaa;écrire;schreiben;γράφω;ír;scríobh;scrivere;rakstīt;rašyti;schreiwen;jiktbu;pisać;escrever;napísať;pisati;escribir;skriva
би;bi;by;ville;zou;would;oleks;olisi;voudrais;würde;θα;lenne;bheadh;sarebbe;būtu;būtų;géifen;kieku;byłoby;faria;by;bi;haría;skulle
като;kao što;jako;ligesom;zoals;like;nagu;kuten;comme;wie;σαν;hasonló;cosúil le;come;piemēram,;kaip;wëll;bħal;jak;como;ako;kot;como;liknande
така;tako;tak;så;dus;so;nii;niin;si;so;έτσι;így;mar sin;così;tā;taip;sou;hekk;tak;assim;tak;tako;así;så
